"","QWE","MI","PI","LOCTot","SocDesTot","MachTot","Sex","BehIntTot","ManCheck_1","ManCheck_2","ManCheck_3","Team"
"895","low","ethical","ethical",24,36,23,"Female",5,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"896","high","ethical","ethical",29,30,33,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"897","high","ethical","unethical",35,26,32,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"898","high","unethical","ethical",25,34,24,"Female",7,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",10
"899","high","unethical","unethical",33,29,27,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"900","low","ethical","ethical",31,30,30,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"901","low","unethical","unethical",32,25,28,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"902","low","unethical","ethical",26,26,32,"Female",9,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"903","low","ethical","unethical",38,25,36,"Female",12,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"904","high","ethical","ethical",24,27,27,"Female",9,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"905","high","unethical","ethical",30,33,23,"Female",8,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"906","high","ethical","unethical",23,34,25,"Female",16,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",10
"907","low","unethical","ethical",23,37,21,"Male",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"908","low","ethical","unethical",28,31,27,"Female",11,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"909","high","unethical","unethical",29,32,27,"Female",14,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"910","low","ethical","ethical",27,26,32,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"911","low","unethical","unethical",31,31,22,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"912","low","ethical","ethical",22,29,29,"Female",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"913","low","unethical","unethical",34,33,32,"Female",15,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"914","high","unethical","ethical",34,23,34,"Female",12,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",10
"915","high","ethical","ethical",35,28,26,"Female",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"916","high","ethical","unethical",26,24,28,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"917","high","unethical","unethical",28,28,32,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",10
"918","high","ethical","ethical",21,38,13,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"919","low","unethical","ethical",32,29,27,"Female",11,"Poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",10
"920","low","ethical","unethical",29,33,28,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"921","low","unethical","unethical",35,30,29,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"922","low","ethical","unethical",21,37,24,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"923","high","unethical","unethical",25,33,22,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"924","high","ethical","unethical",28,24,27,"Female",7,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"925","high","unethical","ethical",37,30,31,"I do not wish to identify as either",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"926","low","ethical","ethical",29,29,30,"Male",11,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"927","low","unethical","unethical",40,29,34,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"928","high","unethical","unethical",35,29,28,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"929","high","ethical","unethical",34,27,30,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"930","low","unethical","ethical",31,26,28,"Female",7,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"931","low","ethical","ethical",26,35,26,"Female",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"932","high","unethical","ethical",22,34,27,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"933","low","ethical","unethical",29,40,24,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"934","high","unethical","unethical",30,25,29,"Female",14,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",10
"935","high","ethical","unethical",42,28,30,"Female",6,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",10
"936","high","ethical","ethical",22,36,29,"Male",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"937","high","unethical","ethical",31,30,27,"Female",10,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",10
"938","low","ethical","unethical",31,29,30,"Male",11,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",10
"939","low","unethical","unethical",39,27,38,"Male",10,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"940","low","unethical","ethical",29,33,34,"Male",10,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"941","high","ethical","unethical",25,29,30,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"942","high","ethical","ethical",22,33,24,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"943","low","unethical","ethical",25,40,24,"Female",7,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"944","high","unethical","unethical",32,29,30,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"945","low","unethical","unethical",32,34,28,"Male",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"946","high","unethical","ethical",14,28,27,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",10
"947","low","ethical","unethical",25,29,29,"Male",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"948","high","unethical","unethical",25,29,27,"Male",12,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"949","low","unethical","ethical",39,30,29,"Male",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",10
"950","low","ethical","ethical",24,34,25,"Male",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"951","high","ethical","unethical",31,26,38,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"952","high","unethical","ethical",24,32,28,"Female",10,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"953","low","ethical","unethical",27,30,31,"Female",14,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",10
"954","low","ethical","ethical",28,31,23,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"955","high","ethical","unethical",26,31,19,"Female",5,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",10
"956","low","unethical","unethical",21,35,26,"Female",6,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",10
"957","high","ethical","ethical",35,28,27,"Male",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",10
"958","low","unethical","ethical",19,33,24,"Male",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"959","high","unethical","ethical",33,27,28,"Male",15,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",10
"960","low","ethical","unethical",44,30,14,"Female",11,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"961","high","ethical","ethical",22,41,20,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",11
"962","low","unethical","ethical",15,33,10,"Male",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",11
"963","low","unethical","unethical",25,32,18,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"964","high","ethical","unethical",30,27,31,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",11
"965","low","ethical","ethical",27,39,19,"Male",5,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",11
"966","high","unethical","ethical",20,24,22,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"967","high","unethical","unethical",37,25,29,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"968","low","ethical","ethical",21,31,17,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",11
"969","high","unethical","unethical",28,37,25,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"970","low","unethical","ethical",28,28,23,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",11
"971","low","ethical","unethical",28,23,28,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",11
"972","high","ethical","ethical",24,32,31,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",11
"973","high","ethical","unethical",34,29,25,"Female",12,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",11
"974","high","unethical","ethical",31,31,27,"Male",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",11
"975","low","ethical","ethical",26,26,33,"Female",13,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",11
"976","low","unethical","ethical",30,31,24,"Female",8,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",12
"977","high","unethical","unethical",29,31,22,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",12
"978","high","ethical","ethical",34,35,25,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"979","low","ethical","ethical",30,28,23,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"980","high","ethical","unethical",33,30,21,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"981","low","unethical","unethical",33,36,22,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"982","low","ethical","unethical",23,33,23,"Female",16,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",12
"983","high","unethical","ethical",30,29,32,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",12
"984","low","unethical","unethical",31,29,29,"Female",10,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",12
"985","low","ethical","unethical",31,31,24,"Female",13,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",12
"986","low","unethical","ethical",32,30,30,"Female",9,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",12
"987","high","unethical","unethical",28,29,21,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",12
"988","low","ethical","ethical",39,34,24,"Female",14,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",12
"989","high","ethical","unethical",30,34,30,"Female",13,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",12
"990","low","unethical","ethical",30,31,31,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",12
"991","low","unethical","unethical",29,31,22,"Male",12,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"992","low","ethical","ethical",29,24,30,"Male",14,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",12
"993","high","ethical","ethical",39,28,24,"Female",10,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"994","high","ethical","unethical",29,26,29,"",10,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",12
"995","high","unethical","unethical",32,40,24,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",12
"996","high","unethical","ethical",22,37,20,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",12
"997","low","ethical","ethical",22,41,21,"Female",13,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",12
"998","high","ethical","unethical",34,28,30,"Female",11,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",12
"999","high","ethical","ethical",33,29,22,"Male",12,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",12
"1000","low","unethical","ethical",34,27,30,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",12
"1001","low","ethical","unethical",30,28,29,"Male",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",12
"1002","low","unethical","unethical",35,32,21,"Male",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",12
"1003","high","unethical","ethical",26,27,27,"Female",9,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",12
"1004","high","ethical","unethical",21,31,21,"Male",16,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",12
"1005","low","unethical","ethical",28,33,29,"Female",11,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",12
"1006","high","unethical","ethical",30,30,33,"Female",14,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1007","high","ethical","ethical",30,31,26,"Female",10,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1008","high","unethical","unethical",17,29,29,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",13
"1009","low","ethical","unethical",27,31,29,"I do not wish to identify as either",14,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",13
"1010","low","unethical","ethical",23,33,27,"Male",12,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1011","high","ethical","unethical",25,31,29,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1012","low","ethical","ethical",25,27,27,"Female",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1013","low","unethical","unethical",24,39,22,"Female",12,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",13
"1014","low","ethical","ethical",30,29,28,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1015","high","unethical","ethical",28,32,31,"Male",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",13
"1016","low","ethical","unethical",30,28,30,"Male",11,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",13
"1017","high","unethical","unethical",28,27,26,"Male",16,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",13
"1018","high","ethical","ethical",22,27,28,"Male",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",13
"1019","low","unethical","unethical",20,24,27,"Female",5,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",13
"1020","low","unethical","ethical",25,20,30,"Male",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",13
"1021","high","ethical","unethical",24,30,29,"Male",17,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1022","high","ethical","ethical",29,39,31,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1023","low","ethical","ethical",36,32,31,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1024","high","unethical","ethical",28,19,44,"Male",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1025","low","unethical","ethical",29,28,28,"Female",12,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1026","high","ethical","unethical",30,32,23,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1027","low","ethical","unethical",32,33,25,"Male",12,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1028","high","unethical","unethical",32,33,24,"I do not wish to identify as either",11,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1029","low","unethical","unethical",32,34,26,"Male",20,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1030","high","unethical","ethical",35,34,25,"Female",7,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1031","high","ethical","unethical",35,32,25,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1032","low","unethical","ethical",34,37,20,"Female",15,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1033","high","ethical","ethical",32,29,25,"Female",5,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1034","low","ethical","ethical",33,32,25,"Male",11,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1035","high","unethical","unethical",29,25,30,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1036","low","unethical","unethical",23,29,24,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1037","low","unethical","unethical",25,34,28,"Male",12,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1038","low","ethical","unethical",27,36,14,"I do not wish to identify as either",10,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1039","low","unethical","ethical",34,26,30,"I do not wish to identify as either",9,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1040","high","ethical","unethical",30,30,20,"I do not wish to identify as either",14,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1041","high","unethical","unethical",23,29,20,"Male",17,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1042","high","ethical","ethical",26,31,22,"I do not wish to identify as either",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1043","high","unethical","ethical",34,29,26,"Male",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1044","low","ethical","ethical",26,34,24,"Male",12,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1045","low","ethical","ethical",31,27,23,"Male",9,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1046","high","ethical","ethical",37,34,21,"Male",7,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",13
"1047","high","ethical","unethical",24,37,22,"Female",10,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1048","low","unethical","ethical",22,34,22,"Female",17,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1049","high","unethical","unethical",34,31,31,"Male",15,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",13
"1050","high","unethical","ethical",30,33,24,"I do not wish to identify as either",7,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",13
"1051","low","ethical","unethical",29,33,25,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",13
"1052","low","ethical","ethical",25,30,32,"Female",12,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",14
"1053","low","unethical","ethical",32,24,29,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",14
"1054","high","ethical","ethical",30,30,29,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",14
"1055","low","ethical","unethical",29,21,24,"Female",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",14
"1056","high","unethical","unethical",25,41,16,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",14
"1057","high","unethical","ethical",34,29,20,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",14
"1058","low","unethical","unethical",28,31,35,"Male",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",15
"1059","high","unethical","unethical",30,23,29,"Male",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1060","low","ethical","unethical",27,39,28,"Male",4,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1061","high","unethical","ethical",27,27,26,"Female",10,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1062","high","ethical","ethical",28,29,27,"Male",13,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1063","low","unethical","ethical",27,29,28,"Male",14,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1064","low","ethical","ethical",20,32,23,"I do not wish to identify as either",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1065","high","unethical","ethical",30,28,26,"Male",10,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1066","low","ethical","ethical",34,30,32,"Female",11,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1067","low","ethical","unethical",38,32,24,"Female",12,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1068","high","unethical","unethical",21,29,26,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1069","high","ethical","ethical",28,29,32,"Female",15,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",15
"1070","low","unethical","ethical",23,29,23,"",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1071","low","unethical","unethical",36,22,40,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1072","high","ethical","unethical",25,27,27,"Male",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1073","low","ethical","ethical",30,25,28,"Female",14,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1074","low","unethical","unethical",25,30,20,"Male",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",15
"1075","high","ethical","ethical",29,34,28,"Female",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1076","high","unethical","unethical",30,33,28,"Male",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1077","high","unethical","ethical",39,37,31,"Female",16,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1078","high","ethical","unethical",23,34,30,"Male",8,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1079","low","ethical","unethical",30,31,26,"Male",14,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1080","low","unethical","ethical",24,27,24,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1081","high","unethical","ethical",27,27,30,"Female",16,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1082","low","ethical","unethical",25,35,28,"Male",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1083","high","unethical","unethical",14,36,20,"Male",20,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1084","high","ethical","ethical",29,27,26,"Female",16,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1085","high","ethical","unethical",28,33,30,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1086","low","unethical","unethical",31,29,30,"Male",12,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",15
"1087","low","unethical","ethical",30,26,41,"Female",19,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1088","low","ethical","ethical",31,26,31,"Female",11,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1089","high","unethical","unethical",14,34,12,"Male",8,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",15
"1090","high","unethical","unethical",26,34,33,"Female",16,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
"1091","high","ethical","unethical",21,36,29,"Male",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",15
"1092","low","unethical","unethical",30,30,30,"Male",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",15
"1093","high","ethical","ethical",24,29,29,"Female",7,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1094","low","ethical","unethical",29,26,32,"Female",16,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",15
"1095","low","ethical","ethical",23,35,31,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",15
